content,score,at
good,5,2025-10-12 17:24:52
good,5,2025-10-12 11:38:37
"mnurut saya gak guna, cuman nanya jawab aja, ujungnya di suruh di periksa ke dokter, ya mening langsung ke dokter, kita di hlodoc cuman buat bayar aja intinya,, mahal lagi, gak guna lagi,, entah dokter apa bukan,",5,2025-10-12 10:14:22
"Harusnya pesanan obar harus sesuai dengan pilihan pasien karna pasien yg memesan kecuali konsultasi lalu obat di pilih oleh dokter itu memang bagus,.dan harusnya pemesanan obat melalui apotik terdekat itu gunanya gps di aktivkan, ini malah dari apotik beda pulau lalu apa gunanya gps di aktifkan? Bayangkan saja mendesak kami membeli obat di sini apa harus menunggu 10 hari pengiriman Kenapa tidak melalui apotik terdekat? mohon di update",2,2025-10-12 09:28:55
lumayan,3,2025-10-12 08:25:44
"Aplikasi ini sangat bagus sekali dan sangat membantu, trimakasih halodoc",5,2025-10-12 05:12:15
sangat membantu dan memuaskan.,5,2025-10-12 01:46:05
"Sangat membantu, tidak perlu ke hospital 🏥.",5,2025-10-11 14:25:29
"aplikasi aneh, konsultasi dibatalkan kok duitnya ga kembali",5,2025-10-11 13:04:15
terimakasih barang sudah sampai dengan cepet dan kondisi barang ok,5,2025-10-11 12:31:06
"sangat terbantu ,wkt yg flexible disaat darurat",5,2025-10-11 11:54:53
"sya sudh Nemu dokter spkk yg Ramah, fast respons, detail, udh gitu orangnya cantik.🤭 sudah sembuh dari jerawat menahun ,tapi paling ga suka Konsul di halloskin, jutek banget dokternya balesnya lama bgt mentang"" murah",5,2025-10-11 10:54:40
"konsul ke dr kulit. sdh janjian, tp saya telat buka aplikasi slma 10 menit, dr nya lgsng selesaikan sesi konsul, padahal waktu konsul sdh dibayar utk 30 menit. wkwk sungguh perhitungan skli, bad experience👎",1,2025-10-11 10:32:06
ok,5,2025-10-11 10:20:20
"Beli obat di Halodoc , cepat dan amanah, terjamin, tks Halodoc👍🙏",5,2025-10-11 02:37:08
membantu bngt,5,2025-10-11 02:16:53
sangat membantu sekali,5,2025-10-11 01:35:12
sangat puas tapi maaf blsnya agak lama....tapi makasih,5,2025-10-11 00:23:22
bagus,5,2025-10-11 00:16:10
sangat membantu sekali 👍,5,2025-10-10 17:21:46
cukup membantu kepanikan aku😖,5,2025-10-10 15:37:17
"first time pake apk ini,belum tau sistem nya padahal mau konsultasi ternyata harus bayar.konsul doang yaillah mending kalo fast respon,ini berasa chat ama artis",2,2025-10-10 15:22:56
selalu puas dan alhamdulillah cocok,5,2025-10-10 14:25:26
bagus and murah juga,5,2025-10-10 14:06:48
mudah tidak repot harus keluar rumah,5,2025-10-10 12:46:45
Aplikasi kesehatan yg sangat membantu,5,2025-10-10 07:40:13
"Dokternya ramah, baikkk",5,2025-10-10 06:15:06
ok,5,2025-10-10 05:02:12
bagusss dokternya ramahhh,4,2025-10-10 02:21:08
respon dokter cepat dan bagus informasinya,5,2025-10-10 00:24:56
mantap,5,2025-10-09 19:57:47
"akurat, komunikatif",5,2025-10-09 19:17:51
🫶🫶🫶,5,2025-10-09 14:36:47
Sangat membantu.,5,2025-10-09 12:36:35
sangat membantu sekali,5,2025-10-09 12:28:24
sangat membantu,5,2025-10-09 10:30:05
Bagus,5,2025-10-09 09:21:14
sangat membantu kuliah saya,5,2025-10-09 08:02:30
cukup membantu,4,2025-10-09 07:00:22
Good jobb,5,2025-10-09 03:46:12
berguna untuk asuransi yg di pakai,5,2025-10-09 01:45:27
bagus,5,2025-10-09 01:38:23
sangat membantu sekali adanya aplikasi ini. terima kasih halodoc,5,2025-10-09 01:36:48
okeh,5,2025-10-08 22:58:37
kerenz,5,2025-10-08 15:07:25
mantap,5,2025-10-08 14:45:01
takut udah di bayar gak Dateng obatnya mksih,4,2025-10-08 14:06:10
bukanya lama,3,2025-10-08 13:20:56
"sangat membantu di saat jauh dri klinik, cuaca hujan tapi butuh pengobatan, ada HaloDoc.terima kasih",5,2025-10-08 12:55:25
mempermudah dalam berobat,5,2025-10-08 12:13:58
sangat puas dgn dokter...SDH sangat membantu untuk kondisi muka ku yg sekarang😍,5,2025-10-08 05:32:16
"Kurang komunikatif dokternya, harus kita yg super aktif dlm berkomunikasi",3,2025-10-08 03:36:32
"pelayanan mudah praktis & respon cepat, dokter Della juga ramah",5,2025-10-08 03:03:05
membantu,5,2025-10-08 02:21:45
dokternnya cepat tanggap,5,2025-10-08 02:16:05
dokternya cepat merespon dam meresepkan obat dengan cepat,4,2025-10-08 02:05:45
dokternya fast respon thx u❤️,5,2025-10-07 15:47:36
sangat membantu ... konsultasi juga terfasilitasi dengan baik,5,2025-10-07 13:46:36
mudah dan cepat mantap,5,2025-10-07 12:52:33
enak bisa langsung konsul dan obat,5,2025-10-07 12:47:12
jawabannya sangat memuaskan,5,2025-10-07 12:20:08
"awesome service, moreover the talk therapy clinic one. surely others too. I have experienced both.",5,2025-10-07 10:19:24
mantab,5,2025-10-07 09:42:13
"Baru pertama mengunakan dan konsultasi dengan Halodoc, sanga memuaskan, walaupun pengecekan lewat online dokternya detail untuk menanyakan dan diagnosanya jelas",5,2025-10-07 05:45:42
"ketika sakit ,saat butuh dokter lngsung ada dan obat bisa lngsung kirim ke rmh.jd lebih mudah.Terima kasih halodoc🙏🏻",5,2025-10-07 01:58:04
"dokternya lengkap dan banyak pilihan ,sangat membantu dikala bingung harus kemana ,bahkan penjelasan dari dokter2nya sangat baik 🫶",5,2025-10-07 01:22:34
mantap,5,2025-10-07 00:41:25
Kedua kalinya pakai aplikasi halodoc untuk chat dokter dan bertemu dokter2 yang berkompeten di bidangnya seperti dr Seso dan dr Cindy. Sangat membantu dalam memberikan informasi. Semoga sesi chat dgn dokter di halodoc bisa lebih lama karena masih byk pertanyaan yg ingin ditanyakan,5,2025-10-06 13:53:48
plyanannya dokternya good,5,2025-10-06 11:41:32
dengan adanya halodoc ter bantu sekali bisa beli obat yg di resepkan dokter. terimakasih halodoc dan para dokter,5,2025-10-06 10:24:08
terimakasih karena selalu bisa diandalkan saat saya mencari obat untuk anak saya,5,2025-10-06 07:14:14
Mohon lokasi nya lebih akurat lagi,3,2025-10-06 06:45:50
oke,5,2025-10-06 04:32:25
dokter ramah dan fast respon,4,2025-10-06 02:19:52
Sangat sangat terbantu tidak mesti ke klinik,5,2025-10-06 00:07:57
"Sangat membantu kalo malem2.. makasih tim halodoc dan abang2 gojek , barakallah.",5,2025-10-05 18:36:18
sangat membantu,5,2025-10-05 14:36:57
"pengalaman cht dg dokternya, jujurly agak krg puas krn balesnya agak lama. kalau gak dipancing terus jawabnya gak detail gais huhu agk sedih :( dari sistem pembayarannya sdh lumayan mudah. cuman gak ada pilihan mbanking gaisss jadi harus punya minimal aps dana. poin plusnya bisa konsul dokter tanpa antri, tanpa jauh2 dtg ke klinik/ketemu banyak org sakit 👍🏻 tambahan : poin plus lagi, obtnya bisa lgsg antar kurleb 2 jam an krn rumahku d kampung. ongkir +/- 15 rb an kalo di aku. tapi puas 👍🏻",5,2025-10-05 14:24:34
pelayanan bagus penjelasan dokter muda dimengerti,5,2025-10-05 08:49:57
keten,5,2025-10-05 02:44:26
good and recomended,5,2025-10-05 02:09:44
membantu banget buat new mom,5,2025-10-05 00:27:48
aplikasi ini membantu sekali apalagi saat hari besar/libur praktek dokter juga libur .. dengan halodoc sangat membantu sekali,5,2025-10-04 23:31:29
jalan ninja kapan pun dimanapun,5,2025-10-04 15:02:06
kesan pertama konsul di aplikasi ini sangat berkesan dokternya memberikan saran yg jelas dan lugas.terima kasih.,5,2025-10-04 14:43:56
good,5,2025-10-04 11:41:25
pelayanannya gercep,5,2025-10-04 10:41:23
sangat baik,5,2025-10-04 08:18:03
sangat membantu,5,2025-10-04 06:05:53
best of the best,5,2025-10-04 05:47:51
"Lebih enak, lebih simple , bisa konsultasi sambil rebahan juga. ngga ngantri panjang.",5,2025-10-04 05:43:05
"lengkap, respon cepat",5,2025-10-04 02:06:44
Terima kasih,5,2025-10-04 01:42:02
gopay saya udah kepotong buat chat sama dokter. dokternya gabisa. terus gaada layanan apa² tapi saya harus tetap membayar. MAKASIH APLIKASI HALODOC BAGUS BANGET! SAYA BAYAR HANYA UNTUK LIHAT FOTO DOKTERNYA?! WOW KEREN!,1,2025-10-03 16:59:41
sangat membantu sekali,5,2025-10-03 16:01:24
dokter nya ramah,5,2025-10-03 15:48:50
mantap,5,2025-10-03 15:45:18
mantap👍,5,2025-10-03 14:32:49
"dengan hari ini 2x saya Konsul lewat halodoc. yang pertama tidak di respon pesan saya, hari ini malah saya sudah bayar tapi tertera selesai pdhal saya sama sekali belum berkonsultasi. sangat mengecewakan",1,2025-10-03 14:05:17
memudahkan ketika perlu obat dari rumah,5,2025-10-03 12:56:28
"konsul telat 10 menit udah di cancel, sisa 20 menit hilang, duit ikut hilang. aplikasi penipuan, kebijakan merugikan",1,2025-10-03 12:44:55
"konsultasi dengan dokter terbaik, kalau butuh cek lab juga bisa homecare, sangat membantu",5,2025-10-03 09:02:05
sangat membantu apalagi untuk orang yang tidak bisa bepergian jauh,5,2025-10-03 07:45:37
terimakasih halodok😘👍,5,2025-10-03 06:36:54
besttt banget,5,2025-10-03 03:26:48
terimakasih sudah sangat membantu saya,5,2025-10-03 03:09:16
misal ditambah fitur pick up obat di apotek terdekat app ini akan sangat² membantu,5,2025-10-03 02:56:47
"cepat sekali penanganan dokter ,dan juga pemesanan obat nya.",5,2025-10-03 01:38:21
Alhamdulillah pesanan diantar cepat. pelayanan memuaskan. terima kasih,5,2025-10-02 23:01:49
"waktu kolsulnya tambahin please, kalo deket-deket waktu habis bikin geregetan padahal masi ada yg mau di tanyaaaa😭😭 jadi buru² minta reseppnyaa😭👊",5,2025-10-02 16:40:25
dokter ramah,5,2025-10-02 15:18:49
"sangat membantu sekali,tidak perlu datang ke RS / klinik",5,2025-10-02 13:21:47
"sangat sangat mmbntu dalam keadaan sedang sakit dirumah lemas lesuh,tnggal konsul ke halodoc👍",5,2025-10-02 10:29:38
PAYAH.,1,2025-10-02 08:15:09
"Cukup membantu, apalagi bisa connect/ terhubung dengan Asuransiku, berobat jadi lebih mudah, cuma kita hanya bisa bercerita melalui chat saja, tidak diperiksa secara langsung",5,2025-10-02 05:06:55
sangat membantu sekali..terimakasih halodoc,5,2025-10-02 03:00:40
mantap,5,2025-10-02 00:55:12
