content,score,at,sentiment
maaf dokter nya cuek saya udah bayar untuk konsultasi eh malah suruh periksa ke dokter trs gunanya saya konsultasi untuk apa?,1,2025-10-23 17:18:37,negatif
Kereenn,5,2025-10-23 16:43:11,positif
sangat informatif dan membantu,5,2025-10-23 13:12:17,positif
dokternya baik👍🏻,5,2025-10-23 12:24:14,positif
sangat sangat membantu,5,2025-10-23 09:50:45,positif
respon dokter nya cepat dan terpercaya,5,2025-10-23 08:15:53,positif
mantep,5,2025-10-23 06:43:57,positif
good,5,2025-10-23 06:12:07,positif
Alhamdulillah sangat terbantu baik dengan dokter maupun pelayanan pengiriman obatnya,5,2025-10-23 06:09:36,positif
prosesnya cepat dan tepat,5,2025-10-23 05:51:51,positif
okeee bangett,5,2025-10-23 01:40:22,positif
bagus,5,2025-10-23 01:39:39,positif
"best banget di apk, dan dr yg fast respon",5,2025-10-23 00:06:00,positif
untuk pengiriman obat gimana sih min di apk perkiraan jam 04.35 giliran nanya yg driver nya bilang nya ga diambil gimana si,3,2025-10-22 21:31:32,netral
sangat membantu sekali,5,2025-10-22 16:17:33,positif
"baik dokternya , penanganan nya jelas",5,2025-10-22 13:57:06,positif
jadi mudah untuk.konsultasi dalam keadaan darurat,5,2025-10-22 13:29:46,positif
halodoc is the best,5,2025-10-22 13:28:10,positif
sangat baik,5,2025-10-22 12:11:38,positif
Bagus sekali konsultasi disini jelas dan langsung dpt resep praktis sekali dan biaya sangat terjangkau,5,2025-10-22 11:16:25,positif
sangat membantu,5,2025-10-22 11:16:20,positif
Fast response..happy😇👌,5,2025-10-22 10:10:56,positif
cara mudah ke dokter tanpa ribet alhamdulilah sekeluarga kalau sakit cukup buka app halodoc konsul dr rmh n sehat,5,2025-10-22 08:51:33,positif
sangat membantu,5,2025-10-22 07:17:26,positif
pernah pesen paket tp gabisa di batalin mau ubah alamatnya ngeselin banget,1,2025-10-22 07:02:39,negatif
sangat membantu,5,2025-10-22 05:44:56,positif
sangat membantu,5,2025-10-22 04:07:25,positif
saya lebih leluasa utk konsultasi krn dr anak nya juga informatif. terimakasii halodoc sudah menyediakan aplikasi utk konsultasi dg dokter secara daring,5,2025-10-22 03:59:26,positif
pengalaman pertama,5,2025-10-22 00:21:22,positif
good,5,2025-10-22 00:09:23,positif
pelayanan cepat,5,2025-10-21 23:01:30,positif
sangat membantu,5,2025-10-21 16:26:43,positif
"coba dulu ,, wat daftarin KTP nya ssh amat ia,, coba lagi klu ok baru 5",4,2025-10-21 16:14:45,positif
sangat membantu ketika lagi sakit dirumah dan tdk bisa ke praktek dokter,5,2025-10-21 15:00:16,positif
mempermudah bangeeet,5,2025-10-21 13:57:52,positif
sangat membantu untuk konsultasi dari rumah dan harga konsultasinya sangat terjangkau. banyak pilihan untuk dokternya,5,2025-10-21 13:09:34,positif
sat set wat wet,5,2025-10-21 11:33:03,positif
"Dokter aji mumpung, bisa-bisanya narif obat ga sesuai dengan harga apps. Ini malak namanya",1,2025-10-21 07:48:51,negatif
"anyingg lahh masa beli ngeluarin duit hampir 70 ribuu dikasih obatt yang SALAHHH, fakkk kasiann ibukuu yg lagi nunggu obatny",1,2025-10-21 07:16:30,negatif
Responnya cepat tanggap👍,5,2025-10-21 04:33:54,positif
tepat waktu sesuai dengan pesanan,5,2025-10-21 03:53:11,positif
ok,5,2025-10-21 02:59:16,positif
sangat membantu,5,2025-10-20 17:44:43,positif
"pernah konsul psikolog disini, waktu cuma 30 menit lumayan cepet bgt, harga dari 50k-200k its work it? no jawaban dari psikolog nya juga agak gimana gtu kurang banget kalau di samain sama psikolog yg langsung kontrol tatap muka lebih bagusan yg itu dari pada psikolog halodoc, ini tanggapan bagi saya ya soalnya sy baru ngalamin saya kira psikolog nya itu bakal ngasi saran yg lebih baik ternyata saran"" nya biasa aja harga 115k/30 menitan, ngetik panjang keburu habis waktunya 💔💔",1,2025-10-20 16:09:40,negatif
sangat membantu menemukan konsultasi dengan dokter-dokter yang berpengalaman,5,2025-10-20 13:26:55,positif
sangat membantu,5,2025-10-20 09:43:14,positif
terbaik.. beli obat cepat sampai,5,2025-10-20 09:41:41,positif
"bagus, disaat cari obat di apotek dekat rumah tidak nemu, di halodoc bisa order dengan pengiriman setengah jam. dokter konsultasi juga sangat membantu. terima kasih..😁👍",5,2025-10-20 06:10:44,positif
bagus,5,2025-10-20 05:46:31,positif
"mantul,Dokter luar biasa konsultasi dan resepnya Manjur",5,2025-10-20 01:45:55,positif
"Sangat membantu, tidak perlu repot2 datang ke klinik. karena halodoc memiliki dokter ahli dengan bidangnya. dan bisa bebas konsultasi dari mana saja. terimakasih para dokter dan halodoc.",5,2025-10-20 00:05:02,positif
"pelayanannya baik, Dokternya respon enak",5,2025-10-19 23:58:51,positif
"sangat mantap, puas, puas and very very puaaaaassss",5,2025-10-19 15:39:33,positif
iya ini aplikasi yg sangat membantu sekali,4,2025-10-19 12:42:50,positif
sangat informatif dan membantu,5,2025-10-19 10:31:00,positif
sangat tepat..,5,2025-10-19 07:56:29,positif
sangat membantu mslh kesehatan,5,2025-10-19 05:33:14,positif
"betul² 24 jam, aku pesen obat jam 3 pagi. Aku berharap jam 6-8 baru difollow up, ternyata hanya tempo ½jam obat su datang. dokternya pun solutif banget",5,2025-10-19 00:57:44,positif
respon cepat detail akurat bisa konsultasi dirumah,5,2025-10-18 23:28:47,positif
sangatt baikkk bagus membantu bangt,5,2025-10-18 15:31:06,positif
dokternya ramah dan respon cepat,5,2025-10-18 14:53:51,positif
"agak kecewa dengan fitur pesanan barang di halodoc, tidak ada fitur pembatalan pesanan apabila barang sudah terlanjur dipesan tidak sesuai, padahal pesanan baru terkonfirmasi aja chat gk bisa",4,2025-10-18 12:38:55,positif
"Sangat membantu, terutama saat weekend di mana dokter spesialis libur offline.",5,2025-10-18 11:07:33,positif
Alhamdulillah membantu sekali di sini tidak perlu nunggu antrian ke puskesmas dan dokter. resep bisa dipakai berulang kali.,5,2025-10-18 10:48:14,positif
good service,5,2025-10-18 09:43:26,positif
bagus,5,2025-10-18 09:35:34,positif
baguss,5,2025-10-18 08:26:25,positif
Pengiriman Cepat sangat membantu ketika sakit memerlukan obat seger,5,2025-10-18 06:00:49,positif
sangat amat membantu,5,2025-10-17 23:53:15,positif
sangat membantu,5,2025-10-17 16:40:39,positif
"kenapa gak dari kemarin ya pas sakit awal, kenapa udah beli obat periksa ternyata ada aplikasi ini sangat membantu. terimakasih",5,2025-10-17 14:36:52,positif
apa yang kurang? tidak bisa autologin menggunakan Gmail,2,2025-10-17 12:59:53,negatif
cool,5,2025-10-17 12:11:59,positif
"Jujur bagus pelayanannya, TPI saya mau tanya-tanya lebih lagi dokternya seperti engga menjawab . tetapi ya sudah.",4,2025-10-17 10:09:55,positif
dojternya ramah dan obat yg dikasih itu manjur banget,5,2025-10-17 09:30:56,positif
bagus,5,2025-10-17 09:30:13,positif
"gk jelas dokter nya,lama lama x bls nya",1,2025-10-16 14:42:44,negatif
tambahkan isi saldo lewat tf bank,3,2025-10-16 13:53:54,netral
"metoda pembayarannya mesti di beri banyak pilihan jgn cuman dana,shoppee dll harusnya bisa via transfer lebih gampang",1,2025-10-16 10:55:03,negatif
sangat membantu dan memudahkan,5,2025-10-16 09:50:17,positif
dokternya tanggap,5,2025-10-16 09:45:35,positif
"pelayanan nya bagus, terutama layanan chat dokter . pertahankan",5,2025-10-16 08:52:01,positif
"sangat membantu untuk anak kost yang hidup diperantauan. jadi kalau mau komsultasi mudah dan cepat. dokternya juga gercep kalau bales chat, suka sekali dengan halodoc",5,2025-10-16 00:34:38,positif
Memuakan sekali,5,2025-10-15 23:12:15,positif
good,5,2025-10-15 17:09:45,positif
"mending fitur konsultasi gratis setelah beli paket acne itu dihapus deh, ga guna!! dokter slow respon smpe 3 hari ini blm ditanggapi oleh dokter padahal itu klaim gratis konsultasi karena beli paket acne dari halodoc ini. konsul juga di jam buka tapi sampe hari ini bhkn ga ditanggapi dokter bagaimana progres perawatan wajah saya, kalo emg ga bisa gratis dan lelet apus aja kebijakan ini. GA WORTH IT",2,2025-10-15 15:25:34,negatif
pelayanan sangat memuaskan,5,2025-10-15 14:29:04,positif
bagus ramah sekali dokternya,5,2025-10-15 11:48:08,positif
"puas banget karena sangat membantu buat yang mau konsultasi dokter tapi ga bisa dateng ke klinik, apalagi klo keluhan yg ga memerlukan pemeriksaan fisik, dokternya pun kita bisa pilih berdasarkan jam terbang dan penilaian dari pasien yg udah konsul. Dokternya baik & ramah jawabannyapun memuaskan dan memberikan solusi, bisa minta resep juga, recommended ⭐⭐⭐⭐⭐",5,2025-10-15 07:43:43,positif
konsultasi sangat mudah,5,2025-10-15 03:38:17,positif
cepat pelayanannya walau keluhan yg sudah kita sampaikan masih ditnya ulang oleh dokter,5,2025-10-15 03:37:48,positif
sangat cepat responnya,5,2025-10-15 03:31:31,positif
pelayanan dengan Dokternya memuaskan dengan penjelasan yg sangat detail & akurat. terima kasih Halodoc.,5,2025-10-15 02:38:31,positif
mudah dan cepat,5,2025-10-15 01:51:05,positif
informatif efisien,5,2025-10-15 01:46:52,positif
"Maksimal paket sampai tidak sesuai dengan yang di tetap kan,jasa pengiriman antareja lelet pesan tanggal 6 sampai tgl 15 belum nyampai juga.",1,2025-10-14 23:46:50,negatif
Memudahkan sekali dan terbantukan dengan dokter2nya ...terimakasih hallodoc,5,2025-10-14 23:44:20,positif
sangat puas sekali,5,2025-10-14 20:45:48,positif
halodoc mantap,5,2025-10-14 15:07:32,positif
pelayanan cepat,5,2025-10-14 14:45:45,positif
Sangat membantu,5,2025-10-14 14:12:32,positif
"kenapa ya dokternya pada mata duitan, pas pake kupon bales chat nya seabad(lama banget) pas ga pake kupon kaya maling ayam (cepet banget) + cuman di kasi waktu 30 menit? 15 menit nunggu bales chat 15 nya lagi konsul, apaansihhh tolong di kasi pelajaran itu dokternya aplikasinya bagus, masa dokternya gini sihh, oohhh iya tambahin fitur reaport/laporkan dong biar tau rasa itu dokter mata duitan",1,2025-10-14 13:08:57,negatif
Dokternya ramah dan cepat respon.,5,2025-10-14 11:38:00,positif
sangat membantu dg cara virtual,5,2025-10-14 11:06:15,positif
"Responship dokter nya,baik dan ditail dalam bertanya..🥰",5,2025-10-14 08:22:49,positif
"dokternya sangat detail menjelaskannya,👍🏻",5,2025-10-14 05:43:18,positif
alhamdulillah.. makasih halodoc,5,2025-10-14 03:44:45,positif
sangat membantu,5,2025-10-14 00:10:59,positif
sangat menolong🤍,5,2025-10-13 14:02:36,positif
memudahkan dalam kondisi sakit dan tidak bisa kemana-mana apalagi kalau jadwal dokter terdekat masih lama,5,2025-10-13 07:48:56,positif
sangat membantu,5,2025-10-13 06:49:40,positif
"Bagus pelayanannya, dan aplikasinya juga mudah digunakan.",5,2025-10-13 06:15:06,positif
pelayanan bagus dan ramah,5,2025-10-13 06:02:21,positif
sangat memudahkan,5,2025-10-13 05:34:25,positif
sangat mambantu dan melayani dengan sangat baik,5,2025-10-13 05:11:52,positif
topq,5,2025-10-13 04:13:50,positif
"Konsul dokter THT Alhamdulillah dr. Nya ramah banget Maaf ya dok saya slow respon karna sambil jualan,,berkah dan sehat selalu buat Dr. Yunaldi altila",5,2025-10-13 02:31:25,positif
good,5,2025-10-12 17:24:52,positif
good,5,2025-10-12 11:38:37,positif
"mnurut saya gak guna, cuman nanya jawab aja, ujungnya di suruh di periksa ke dokter, ya mening langsung ke dokter, kita di hlodoc cuman buat bayar aja intinya,, mahal lagi, gak guna lagi,, entah dokter apa bukan,",5,2025-10-12 10:14:22,positif
"Harusnya pesanan obar harus sesuai dengan pilihan pasien karna pasien yg memesan kecuali konsultasi lalu obat di pilih oleh dokter itu memang bagus,.dan harusnya pemesanan obat melalui apotik terdekat itu gunanya gps di aktivkan, ini malah dari apotik beda pulau lalu apa gunanya gps di aktifkan? Bayangkan saja mendesak kami membeli obat di sini apa harus menunggu 10 hari pengiriman Kenapa tidak melalui apotik terdekat? mohon di update",2,2025-10-12 09:28:55,negatif
lumayan,3,2025-10-12 08:25:44,netral
"Aplikasi ini sangat bagus sekali dan sangat membantu, trimakasih halodoc",5,2025-10-12 05:12:15,positif
sangat membantu dan memuaskan.,5,2025-10-12 01:46:05,positif
"Sangat membantu, tidak perlu ke hospital 🏥.",5,2025-10-11 14:25:29,positif
"aplikasi aneh, konsultasi dibatalkan kok duitnya ga kembali",5,2025-10-11 13:04:15,positif
terimakasih barang sudah sampai dengan cepet dan kondisi barang ok,5,2025-10-11 12:31:06,positif
"sangat terbantu ,wkt yg flexible disaat darurat",5,2025-10-11 11:54:53,positif
"sya sudh Nemu dokter spkk yg Ramah, fast respons, detail, udh gitu orangnya cantik.🤭 sudah sembuh dari jerawat menahun ,tapi paling ga suka Konsul di halloskin, jutek banget dokternya balesnya lama bgt mentang"" murah",5,2025-10-11 10:54:40,positif
"konsul ke dr kulit. sdh janjian, tp saya telat buka aplikasi slma 10 menit, dr nya lgsng selesaikan sesi konsul, padahal waktu konsul sdh dibayar utk 30 menit. wkwk sungguh perhitungan skli, bad experience👎",1,2025-10-11 10:32:06,negatif
ok,5,2025-10-11 10:20:20,positif
"Beli obat di Halodoc , cepat dan amanah, terjamin, tks Halodoc👍🙏",5,2025-10-11 02:37:08,positif
membantu bngt,5,2025-10-11 02:16:53,positif
sangat membantu sekali,5,2025-10-11 01:35:12,positif
sangat puas tapi maaf blsnya agak lama....tapi makasih,5,2025-10-11 00:23:22,positif
bagus,5,2025-10-11 00:16:10,positif
sangat membantu sekali 👍,5,2025-10-10 17:21:46,positif
cukup membantu kepanikan aku😖,5,2025-10-10 15:37:17,positif
"first time pake apk ini,belum tau sistem nya padahal mau konsultasi ternyata harus bayar.konsul doang yaillah mending kalo fast respon,ini berasa chat ama artis",2,2025-10-10 15:22:56,negatif
selalu puas dan alhamdulillah cocok,5,2025-10-10 14:25:26,positif
bagus and murah juga,5,2025-10-10 14:06:48,positif
mudah tidak repot harus keluar rumah,5,2025-10-10 12:46:45,positif
Aplikasi kesehatan yg sangat membantu,5,2025-10-10 07:40:13,positif
"Dokternya ramah, baikkk",5,2025-10-10 06:15:06,positif
ok,5,2025-10-10 05:02:12,positif
bagusss dokternya ramahhh,4,2025-10-10 02:21:08,positif
respon dokter cepat dan bagus informasinya,5,2025-10-10 00:24:56,positif
mantap,5,2025-10-09 19:57:47,positif
"akurat, komunikatif",5,2025-10-09 19:17:51,positif
🫶🫶🫶,5,2025-10-09 14:36:47,positif
Sangat membantu.,5,2025-10-09 12:36:35,positif
sangat membantu sekali,5,2025-10-09 12:28:24,positif
sangat membantu,5,2025-10-09 10:30:05,positif
Bagus,5,2025-10-09 09:21:14,positif
sangat membantu kuliah saya,5,2025-10-09 08:02:30,positif
cukup membantu,4,2025-10-09 07:00:22,positif
Good jobb,5,2025-10-09 03:46:12,positif
berguna untuk asuransi yg di pakai,5,2025-10-09 01:45:27,positif
bagus,5,2025-10-09 01:38:23,positif
sangat membantu sekali adanya aplikasi ini. terima kasih halodoc,5,2025-10-09 01:36:48,positif
okeh,5,2025-10-08 22:58:37,positif
kerenz,5,2025-10-08 15:07:25,positif
mantap,5,2025-10-08 14:45:01,positif
takut udah di bayar gak Dateng obatnya mksih,4,2025-10-08 14:06:10,positif
bukanya lama,3,2025-10-08 13:20:56,netral
"sangat membantu di saat jauh dri klinik, cuaca hujan tapi butuh pengobatan, ada HaloDoc.terima kasih",5,2025-10-08 12:55:25,positif
mempermudah dalam berobat,5,2025-10-08 12:13:58,positif
sangat puas dgn dokter...SDH sangat membantu untuk kondisi muka ku yg sekarang😍,5,2025-10-08 05:32:16,positif
"Kurang komunikatif dokternya, harus kita yg super aktif dlm berkomunikasi",3,2025-10-08 03:36:32,netral
"pelayanan mudah praktis & respon cepat, dokter Della juga ramah",5,2025-10-08 03:03:05,positif
membantu,5,2025-10-08 02:21:45,positif
dokternnya cepat tanggap,5,2025-10-08 02:16:05,positif
dokternya cepat merespon dam meresepkan obat dengan cepat,4,2025-10-08 02:05:45,positif
dokternya fast respon thx u❤️,5,2025-10-07 15:47:36,positif
sangat membantu ... konsultasi juga terfasilitasi dengan baik,5,2025-10-07 13:46:36,positif
mudah dan cepat mantap,5,2025-10-07 12:52:33,positif
enak bisa langsung konsul dan obat,5,2025-10-07 12:47:12,positif
jawabannya sangat memuaskan,5,2025-10-07 12:20:08,positif
"awesome service, moreover the talk therapy clinic one. surely others too. I have experienced both.",5,2025-10-07 10:19:24,positif
mantab,5,2025-10-07 09:42:13,positif
"Baru pertama mengunakan dan konsultasi dengan Halodoc, sanga memuaskan, walaupun pengecekan lewat online dokternya detail untuk menanyakan dan diagnosanya jelas",5,2025-10-07 05:45:42,positif
"ketika sakit ,saat butuh dokter lngsung ada dan obat bisa lngsung kirim ke rmh.jd lebih mudah.Terima kasih halodoc🙏🏻",5,2025-10-07 01:58:04,positif
"dokternya lengkap dan banyak pilihan ,sangat membantu dikala bingung harus kemana ,bahkan penjelasan dari dokter2nya sangat baik 🫶",5,2025-10-07 01:22:34,positif
mantap,5,2025-10-07 00:41:25,positif
Kedua kalinya pakai aplikasi halodoc untuk chat dokter dan bertemu dokter2 yang berkompeten di bidangnya seperti dr Seso dan dr Cindy. Sangat membantu dalam memberikan informasi. Semoga sesi chat dgn dokter di halodoc bisa lebih lama karena masih byk pertanyaan yg ingin ditanyakan,5,2025-10-06 13:53:48,positif
plyanannya dokternya good,5,2025-10-06 11:41:32,positif
dengan adanya halodoc ter bantu sekali bisa beli obat yg di resepkan dokter. terimakasih halodoc dan para dokter,5,2025-10-06 10:24:08,positif
terimakasih karena selalu bisa diandalkan saat saya mencari obat untuk anak saya,5,2025-10-06 07:14:14,positif
Mohon lokasi nya lebih akurat lagi,3,2025-10-06 06:45:50,netral
oke,5,2025-10-06 04:32:25,positif
dokter ramah dan fast respon,4,2025-10-06 02:19:52,positif
Sangat sangat terbantu tidak mesti ke klinik,5,2025-10-06 00:07:57,positif
"Sangat membantu kalo malem2.. makasih tim halodoc dan abang2 gojek , barakallah.",5,2025-10-05 18:36:18,positif
sangat membantu,5,2025-10-05 14:36:57,positif
"pengalaman cht dg dokternya, jujurly agak krg puas krn balesnya agak lama. kalau gak dipancing terus jawabnya gak detail gais huhu agk sedih :( dari sistem pembayarannya sdh lumayan mudah. cuman gak ada pilihan mbanking gaisss jadi harus punya minimal aps dana. poin plusnya bisa konsul dokter tanpa antri, tanpa jauh2 dtg ke klinik/ketemu banyak org sakit 👍🏻 tambahan : poin plus lagi, obtnya bisa lgsg antar kurleb 2 jam an krn rumahku d kampung. ongkir +/- 15 rb an kalo di aku. tapi puas 👍🏻",5,2025-10-05 14:24:34,positif
pelayanan bagus penjelasan dokter muda dimengerti,5,2025-10-05 08:49:57,positif
keten,5,2025-10-05 02:44:26,positif
good and recomended,5,2025-10-05 02:09:44,positif
membantu banget buat new mom,5,2025-10-05 00:27:48,positif
aplikasi ini membantu sekali apalagi saat hari besar/libur praktek dokter juga libur .. dengan halodoc sangat membantu sekali,5,2025-10-04 23:31:29,positif
jalan ninja kapan pun dimanapun,5,2025-10-04 15:02:06,positif
kesan pertama konsul di aplikasi ini sangat berkesan dokternya memberikan saran yg jelas dan lugas.terima kasih.,5,2025-10-04 14:43:56,positif
good,5,2025-10-04 11:41:25,positif
pelayanannya gercep,5,2025-10-04 10:41:23,positif
sangat baik,5,2025-10-04 08:18:03,positif
sangat membantu,5,2025-10-04 06:05:53,positif
best of the best,5,2025-10-04 05:47:51,positif
"Lebih enak, lebih simple , bisa konsultasi sambil rebahan juga. ngga ngantri panjang.",5,2025-10-04 05:43:05,positif
"lengkap, respon cepat",5,2025-10-04 02:06:44,positif
Terima kasih,5,2025-10-04 01:42:02,positif
gopay saya udah kepotong buat chat sama dokter. dokternya gabisa. terus gaada layanan apa² tapi saya harus tetap membayar. MAKASIH APLIKASI HALODOC BAGUS BANGET! SAYA BAYAR HANYA UNTUK LIHAT FOTO DOKTERNYA?! WOW KEREN!,1,2025-10-03 16:59:41,negatif
sangat membantu sekali,5,2025-10-03 16:01:24,positif
dokter nya ramah,5,2025-10-03 15:48:50,positif
mantap,5,2025-10-03 15:45:18,positif
mantap👍,5,2025-10-03 14:32:49,positif
"dengan hari ini 2x saya Konsul lewat halodoc. yang pertama tidak di respon pesan saya, hari ini malah saya sudah bayar tapi tertera selesai pdhal saya sama sekali belum berkonsultasi. sangat mengecewakan",1,2025-10-03 14:05:17,negatif
memudahkan ketika perlu obat dari rumah,5,2025-10-03 12:56:28,positif
"konsul telat 10 menit udah di cancel, sisa 20 menit hilang, duit ikut hilang. aplikasi penipuan, kebijakan merugikan",1,2025-10-03 12:44:55,negatif
